date,rtn,ibm
16/11/2018,0.000464642,106.34565
19/11/2018,-0.00452467,105.243446
20/11/2018,-0.011374165,102.522903
21/11/2018,0.005047241,103.721344
23/11/2018,-0.005084244,102.514168
26/11/2018,0.008695326,104.587364
27/11/2018,0.001703898,104.998505
28/11/2018,0.010615291,107.596565
29/11/2018,-0.005400338,106.266914
30/11/2018,0.009861579,108.707535
03/12/2018,0.003619369,109.617279
04/12/2018,-0.013052154,106.371887
06/12/2018,0.008172834,108.392616
07/12/2018,-0.016320332,104.39492
10/12/2018,0.006465674,105.960754
11/12/2018,-0.000861374,105.750801
12/12/2018,0.000968934,105.987
13/12/2018,-0.001544103,105.61084
14/12/2018,-0.002996021,104.884781
17/12/2018,-0.013986957,101.560661
18/12/2018,0.002052567,102.041794
19/12/2018,-0.000819858,101.849342
20/12/2018,-0.012909665,98.866364
21/12/2018,-0.00806711,97.046852
24/12/2018,-0.013396975,94.098885
26/12/2018,0.015155017,97.440498
27/12/2018,0.009219732,99.531197
28/12/2018,-0.00287216,98.87513
31/12/2018,0.002452066,99.434967
02/01/2019,0.00584442,100.782135
03/01/2019,-0.00875781,98.770157
04/01/2019,0.016639597,102.627876
07/01/2019,0.003061709,103.353943
08/01/2019,0.006131801,104.823547
09/01/2019,0.003105772,105.575859
10/01/2019,0.003940299,106.538094
11/01/2019,-0.001178294,106.249435
14/01/2019,-0.003842867,105.313431
15/01/2019,0.004807198,106.485619
16/01/2019,-0.000392645,106.389389
17/01/2019,0.00203073,106.888023
18/01/2019,0.005755041,108.313873
22/01/2019,-0.00458381,107.176674
23/01/2019,0.035285274,116.248016
24/01/2019,-0.001178022,115.933121
25/01/2019,0.004693355,117.192787
28/01/2019,0.000971481,117.455231
29/01/2019,0.0001939,117.507683
30/01/2019,0.000161654,117.55143
31/01/2019,0.000129244,117.586418
01/02/2019,-0.001035013,117.306519
04/02/2019,0.003515679,118.259987
05/02/2019,0.001155017,118.574921
06/02/2019,0.002460041,119.248489
07/02/2019,-0.005057155,117.86795
08/02/2019,0.001692253,118.328125
11/02/2019,0.000908549,118.575928
12/02/2019,0.006626135,120.398941
13/02/2019,0.004667383,121.699852
14/02/2019,-0.003296895,120.77948
15/02/2019,0.004904497,122.151176
19/02/2019,0.002102903,122.74408
20/02/2019,-0.002197333,122.124619
21/02/2019,-0.000503851,121.983017
22/02/2019,0.004420049,123.230843
25/02/2019,0.000654303,123.416641
26/02/2019,0.000808962,123.646744
27/02/2019,-0.001712856,123.160042
28/02/2019,-0.00325766,122.23967
01/03/2019,0.003351191,123.186569
04/03/2019,-0.002408988,122.505157
05/03/2019,-0.001728928,122.018433
06/03/2019,-0.002844163,121.221954
07/03/2019,-0.005166824,119.788315
08/03/2019,-0.000867081,119.549393
11/03/2019,0.008342212,121.867973
12/03/2019,0.001793911,122.372406
13/03/2019,0.000878496,122.620193
14/03/2019,0.000720287,122.82373
15/03/2019,0.00199803,123.390099
18/03/2019,0.002422788,124.080376
19/03/2019,0.000866468,124.328178
20/03/2019,-0.002760063,123.540543
21/03/2019,0.005686822,125.168869
22/03/2019,-0.006153669,123.407814
25/03/2019,-0.000841734,123.168861
26/03/2019,0.003233203,124.089241
27/03/2019,-0.00304598,123.22197
28/03/2019,0.002115735,123.82373
29/03/2019,0.003647287,124.868004
01/04/2019,0.006719152,126.814911
02/04/2019,-0.000910152,126.549423
03/04/2019,0.001909204,127.106972
04/04/2019,-0.002577872,126.354729
05/04/2019,0.001518173,126.797203
08/04/2019,0.000333416,126.894585
09/04/2019,-0.003894255,125.761826
10/04/2019,0.002772101,126.567131
11/04/2019,0.00230165,127.239685
12/04/2019,0.001718272,127.744102
15/04/2019,-0.00135599,127.345871
16/04/2019,0.003726374,128.443237
17/04/2019,-0.018428755,123.106926
18/04/2019,0.003792194,124.186584
22/04/2019,-0.004479579,122.912231
23/04/2019,0.004819869,124.283928
24/04/2019,-0.001517922,123.850296
25/04/2019,-0.00411561,122.682167
26/04/2019,0.002530075,123.398964
29/04/2019,-0.001216449,123.05381
30/04/2019,0.00379388,124.133484
01/05/2019,0.000896869,124.390099
02/05/2019,-0.003007367,123.531708
03/05/2019,0.002048488,124.115761
06/05/2019,0.000402442,124.230827
07/05/2019,-0.008560559,121.806038
08/05/2019,0.001134405,122.124619
09/05/2019,-0.003324453,121.193344
10/05/2019,-6.42E-05,121.17543
13/05/2019,-0.012700647,117.683052
14/05/2019,0.006201266,119.375496
15/05/2019,0.003536625,120.351585
16/05/2019,0.004756304,121.676895
17/05/2019,-0.005014869,120.279953
20/05/2019,0.00257884,120.9963
21/05/2019,0.004253957,122.187294
22/05/2019,-0.000318311,122.097771
23/05/2019,-0.012800045,118.551674
24/05/2019,-0.000360915,118.453194
28/05/2019,-0.006016841,116.823425
29/05/2019,-0.002570853,116.133919
30/05/2019,-0.000402044,116.026459
31/05/2019,-0.008734955,113.716133
03/06/2019,0.004355531,114.862328
04/06/2019,0.014713133,118.820328
05/06/2019,-0.003945422,117.745773
06/06/2019,0.002404422,118.399467
07/06/2019,0.003565442,119.375496
10/06/2019,0.004633864,120.656036
11/06/2019,0.003882714,121.739571
12/06/2019,-0.00346388,120.772453
13/06/2019,0.002856375,121.569397
14/06/2019,-0.001955738,121.02317
17/06/2019,-0.000643152,120.844078
18/06/2019,0.004577849,122.124619
19/06/2019,0.002223409,122.75145
20/06/2019,0.005571749,124.336426
21/06/2019,0.001093457,124.649872
24/06/2019,0.000467693,124.78418
25/06/2019,-0.003096453,123.897652
26/06/2019,0.000501969,124.040939
27/06/2019,0,124.040939
28/06/2019,-0.001948261,123.485733
